id,dailyconfirmed,dailydeceased,dailyrecovered,date,dateymd,totalconfirmed,totaldeceased,totalrecovered
412,28869,187,17746,16 March 2021,2021-03-16,11438386,158488,11043210
413,35838,171,17793,17 March 2021,2021-03-17,11474224,158659,11061003
414,39687,156,20356,18 March 2021,2021-03-18,11513911,158815,11081359
415,40906,188,23623,19 March 2021,2021-03-19,11554817,159003,11104982
416,43815,196,22971,20 March 2021,2021-03-20,11598632,159199,11127953
417,47009,213,21205,21 March 2021,2021-03-21,11645641,159412,11149158
418,40636,197,29779,22 March 2021,2021-03-22,11686277,159609,11178937
419,47239,277,23913,23 March 2021,2021-03-23,11733516,159886,11202850
420,53419,249,26575,24 March 2021,2021-03-24,11786935,160135,11229425
421,59083,257,32917,25 March 2021,2021-03-25,11846018,160392,11262342
422,62276,292,30341,26 March 2021,2021-03-26,11908294,160684,11292683
423,62632,311,28728,27 March 2021,2021-03-27,11970926,160995,11321411
424,68206,295,32269,28 March 2021,2021-03-28,12039132,161290,11353680
425,56152,266,36989,29 March 2021,2021-03-29,12095284,161556,11390669
426,53237,355,41242,30 March 2021,2021-03-30,12148521,161911,11431911
427,72113,458,40423,31 March 2021,2021-03-31,12220634,162369,11472334
428,81398,468,50384,1 April 2021,2021-04-01,12302032,162837,11522718
429,89023,713,44179,2 April 2021,2021-04-02,12391055,163550,11566897
430,92994,514,60059,3 April 2021,2021-04-03,12484049,164064,11626956
431,103794,477,52840,4 April 2021,2021-04-04,12587843,164541,11679796
432,96563,446,50100,5 April 2021,2021-04-05,12684406,164987,11729896
433,115312,630,59714,6 April 2021,2021-04-06,12799718,165617,11789610
434,126276,684,59137,7 April 2021,2021-04-07,12925994,166301,11848747
435,131878,802,61829,8 April 2021,2021-04-08,13057872,167103,11910576
436,144945,773,77263,9 April 2021,2021-04-09,13202817,167876,11987839
437,152565,838,90328,10 April 2021,2021-04-10,13355382,168714,12078167
438,169914,904,75380,11 April 2021,2021-04-11,13525296,169618,12153547
439,160838,880,96746,12 April 2021,2021-04-12,13686134,170498,12250293
440,185297,1026,82271,13 April 2021,2021-04-13,13871431,171524,12332564
441,199584,1038,93425,14 April 2021,2021-04-14,14071015,172562,12425989
442,216828,1184,117897,15 April 2021,2021-04-15,14287843,173746,12543886
443,234002,1338,122886,16 April 2021,2021-04-16,14521845,175084,12666772
444,260895,1498,138209,17 April 2021,2021-04-17,14782740,176582,12804981
445,275063,1620,143839,18 April 2021,2021-04-18,15057803,178202,12948820
446,257003,1757,154357,19 April 2021,2021-04-19,15314806,179959,13103177
447,294365,2021,166656,20 April 2021,2021-04-20,15609171,181980,13269833
448,315752,2101,179434,21 April 2021,2021-04-21,15924923,184081,13449267
449,332531,2257,192317,22 April 2021,2021-04-22,16257454,186338,13641584
450,345296,2620,220545,23 April 2021,2021-04-23,16602750,188958,13862129
451,348996,2761,215809,24 April 2021,2021-04-24,16951746,191719,14077938
452,354658,2808,218626,25 April 2021,2021-04-25,17306404,194527,14296564
453,319471,2762,249009,26 April 2021,2021-04-26,17625875,197289,14545573
454,362913,3286,262349,27 April 2021,2021-04-27,17988788,200575,14807922
455,379404,3646,274171,28 April 2021,2021-04-28,18368192,204221,15082093
456,386773,3502,291727,29 April 2021,2021-04-29,18754965,207723,15373820
457,402014,3525,299198,30 April 2021,2021-04-30,19156979,211248,15673018
458,392576,3685,308688,1 May 2021,2021-05-01,19549555,214933,15981706
459,370090,3423,300004,2 May 2021,2021-05-02,19919645,218356,16281710
460,355769,3439,318910,3 May 2021,2021-05-03,20275414,221795,16600620
461,382847,3786,337699,4 May 2021,2021-05-04,20658261,225581,16938319
462,412624,3979,330718,5 May 2021,2021-05-05,21070885,229560,17269037
463,414280,3923,328349,6 May 2021,2021-05-06,21485165,233483,17597386
464,406901,4233,327675,7 May 2021,2021-05-07,21892066,237716,17925061
465,403808,4092,386395,8 May 2021,2021-05-08,22295874,241808,18311456
466,366455,3749,353777,9 May 2021,2021-05-09,22662329,245557,18665233
467,329491,3879,355930,10 May 2021,2021-05-10,22991820,249436,19021163
468,348555,4198,355398,11 May 2021,2021-05-11,23340375,253634,19376561
469,362632,4128,352005,12 May 2021,2021-05-12,23703007,257762,19728566
470,343005,4000,344676,13 May 2021,2021-05-13,24046012,261762,20073242
471,326256,3889,353200,14 May 2021,2021-05-14,24372268,265651,20426442
472,310757,4077,362547,15 May 2021,2021-05-15,24683025,269728,20788989
473,281837,4098,378526,16 May 2021,2021-05-16,24964862,273826,21167515
474,263021,4334,422391,17 May 2021,2021-05-17,25227883,278160,21589906
475,267246,4529,389758,18 May 2021,2021-05-18,25495129,282689,21979664
476,276187,3877,369005,19 May 2021,2021-05-19,25771316,286566,22348669
477,259242,4209,357173,20 May 2021,2021-05-20,26030558,290775,22705842
478,257299,4194,357625,21 May 2021,2021-05-21,26287857,294969,23063467
479,240897,3739,355138,22 May 2021,2021-05-22,26528754,298708,23418605
480,222834,4454,302253,23 May 2021,2021-05-23,26751588,303162,23720858
481,195857,3509,326737,24 May 2021,2021-05-24,26947445,306671,24047595
482,208992,4160,295264,25 May 2021,2021-05-25,27156437,310831,24342859
483,211510,3843,283054,26 May 2021,2021-05-26,27367947,314674,24625913
484,186075,3659,271002,27 May 2021,2021-05-27,27554022,318333,24896915
485,174083,3611,285332,28 May 2021,2021-05-28,27728105,321944,25182247
486,165282,3463,264483,29 May 2021,2021-05-29,27893387,325407,25446730
487,153396,3130,237664,30 May 2021,2021-05-30,28046783,328537,25684394
488,126883,2783,255125,31 May 2021,2021-05-31,28173666,331320,25939519
489,133152,3205,231397,1 June 2021,2021-06-01,28306818,334525,26170916
490,134044,2898,211890,2 June 2021,2021-06-02,28440862,337423,26382806
491,132424,2717,206722,3 June 2021,2021-06-03,28573286,340140,26589528
492,120454,3372,197763,4 June 2021,2021-06-04,28693740,343512,26787291
493,114488,2682,189374,5 June 2021,2021-06-05,28808228,346194,26976665
494,101209,2444,174156,6 June 2021,2021-06-06,28909437,348638,27150821
495,85804,2107,182866,7 June 2021,2021-06-07,28995241,350745,27333687
496,92787,2222,162356,8 June 2021,2021-06-08,29088028,352967,27496043
497,93883,6139,149022,9 June 2021,2021-06-09,29181911,359106,27645065
498,91849,3414,135329,10 June 2021,2021-06-10,29273760,362520,27780394
499,84574,3996,122685,11 June 2021,2021-06-11,29358334,366516,27903079
500,80525,3300,132664,12 June 2021,2021-06-12,29438859,369816,28035743
501,71001,3922,119574,13 June 2021,2021-06-13,29509860,373738,28155317
502,60008,2733,117376,14 June 2021,2021-06-14,29569868,376471,28272693
503,62215,2540,107776,15 June 2021,2021-06-15,29632083,379011,28380469
504,67289,2329,103900,16 June 2021,2021-06-16,29699372,381340,28484369
505,62436,1591,88500,17 June 2021,2021-06-17,29761808,382931,28572869
506,60765,1645,97854,18 June 2021,2021-06-18,29822573,384576,28670723
507,58615,1574,87608,19 June 2021,2021-06-19,29881188,386150,28758331
508,52978,1424,78189,20 June 2021,2021-06-20,29934166,387574,28836520
509,42683,1167,82031,21 June 2021,2021-06-21,29976849,388741,28918551
510,50817,1359,68697,22 June 2021,2021-06-22,30027666,390100,28987248
511,54309,1323,69187,23 June 2021,2021-06-23,30081975,391423,29056435
512,51659,1328,64369,24 June 2021,2021-06-24,30133634,392751,29120804
513,48768,1183,64819,25 June 2021,2021-06-25,30182402,393934,29185623
514,49844,1258,57866,26 June 2021,2021-06-26,30232246,395192,29243489
515,46523,978,58563,27 June 2021,2021-06-27,30278769,396170,29302052
516,37070,907,57016,28 June 2021,2021-06-28,30315839,397077,29359068
517,46104,819,60789,29 June 2021,2021-06-29,30361943,397896,29419857
518,48606,1002,61813,30 June 2021,2021-06-30,30410549,398898,29481670
519,46781,857,59054,1 July 2021,2021-07-01,30457330,399755,29540724
520,44187,737,57497,2 July 2021,2021-07-02,30501517,400492,29598221
521,43027,950,52270,3 July 2021,2021-07-03,30544544,401442,29650491
522,40150,725,42342,4 July 2021,2021-07-04,30584694,402167,29692833
523,34026,552,51933,5 July 2021,2021-07-05,30618720,402719,29744766
524,43964,930,47054,6 July 2021,2021-07-06,30662684,403649,29791820
525,45701,819,44529,7 July 2021,2021-07-07,30708385,404468,29836349
526,43504,908,44204,8 July 2021,2021-07-08,30751889,405376,29880553
527,42660,1207,45291,9 July 2021,2021-07-09,30794549,406583,29925844
528,41494,898,41511,10 July 2021,2021-07-10,30836043,407481,29967355
529,37654,720,39688,11 July 2021,2021-07-11,30873697,408201,30007043
530,30818,2024,47544,12 July 2021,2021-07-12,30904515,410225,30054587
531,40314,625,42436,13 July 2021,2021-07-13,30944829,410850,30097023
532,41759,578,39293,14 July 2021,2021-07-14,30986588,411428,30136316
533,39071,544,39827,15 July 2021,2021-07-15,31025659,411972,30176143
534,38117,560,43878,16 July 2021,2021-07-16,31063776,412532,30220021
535,41283,517,42051,17 July 2021,2021-07-17,31105059,413049,30262072
536,38330,501,38545,18 July 2021,2021-07-18,31143389,413550,30300617
537,29420,372,45356,19 July 2021,2021-07-19,31172809,413922,30345973
538,42128,3998,36876,20 July 2021,2021-07-20,31214937,417920,30382849
539,41687,510,38891,21 July 2021,2021-07-21,31256624,418430,30421740
540,34863,481,38403,22 July 2021,2021-07-22,31291487,418911,30460143
541,39501,542,35144,23 July 2021,2021-07-23,31330988,419453,30495287
542,40286,541,40038,24 July 2021,2021-07-24,31371274,419994,30535325
543,38179,411,35945,25 July 2021,2021-07-25,31409453,420405,30571270
544,30820,418,42503,26 July 2021,2021-07-26,31440273,420823,30613773
545,42971,641,41653,27 July 2021,2021-07-27,31483244,421464,30655426
546,43165,640,38537,28 July 2021,2021-07-28,31526409,422104,30693963
547,44671,549,42115,29 July 2021,2021-07-29,31571080,422653,30736078
548,41499,598,37320,30 July 2021,2021-07-30,31612579,423251,30773398
549,41943,542,39485,31 July 2021,2021-07-31,31654522,423793,30812883
550,40629,424,36628,1 August 2021,2021-08-01,31695151,424217,30849511
551,30085,420,39120,2 August 2021,2021-08-02,31725236,424637,30888631
552,42530,561,36552,3 August 2021,2021-08-03,31767766,425198,30925183
553,42797,532,41873,4 August 2021,2021-08-04,31810563,425730,30967056
554,45005,465,40906,5 August 2021,2021-08-05,31855568,426195,31007962
555,38705,616,40026,6 August 2021,2021-08-06,31894273,426811,31047988
556,39068,491,43935,7 August 2021,2021-08-07,31933341,427302,31091923
557,36036,447,39832,8 August 2021,2021-08-08,31969377,427749,31131755
558,27428,376,41461,9 August 2021,2021-08-09,31996805,428125,31173216
559,38376,496,40097,10 August 2021,2021-08-10,32035181,428621,31213313
560,41586,491,39127,11 August 2021,2021-08-11,32076767,429112,31252440
561,40081,583,42156,12 August 2021,2021-08-12,32116848,429695,31294596
562,38761,477,35759,13 August 2021,2021-08-13,32155609,430172,31330355
563,36135,491,37936,14 August 2021,2021-08-14,32191744,430663,31368291
564,33245,421,35936,15 August 2021,2021-08-15,32224989,431084,31404227
565,24692,438,36862,16 August 2021,2021-08-16,32249681,431522,31441089
